"   JoueurType   ","   Gagne   ","   %Gagne   ","   Perdu   ","   %Perdu   ","   Nulle   ","   %Nulle   ","   ScoreMoyen   "
"JoueurRandom   ","   30   ","   3.0%   ","   970 "," 97.0%   ","   0   ","   0.0%   ","   12.737"
"JoueurMoyen   ","   970   ","   97.0%   ","   30 "," 3.0%   ","   0   ","   0.0%   ","   34.227"
