"   JoueurType   ","   Gagne   ","   %Gagne   ","   Perdu   ","   %Perdu   ","   Nulle   ","   %Nulle   ","   ScoreMoyen   "
"JoueurRandom   ","   332   ","   3.32%   ","   9668 "," 96.68%   ","   0   ","   0.0%   ","   13.0573"
"JoueurMoyen   ","   9668   ","   96.68%   ","   332 "," 3.32%   ","   0   ","   0.0%   ","   33.9675"
