"   JoueurType   ","   Gagne   ","   %Gagne   ","   Perdu   ","   %Perdu   ","   Nulle   ","   %Nulle   ","   ScoreMoyen   ","ObjectifMoyen"
"JoueurRandom   ","   39   ","   3.9%   ","   961 "," 96.100006%   ","   0   ","   0.0%   ","   12.98","3.793"
"JoueurMoyen   ","   961   ","   96.100006%   ","   39 "," 3.9%   ","   0   ","   0.0%   ","   33.866","10.349"
