"JoueurType","Gagne","%Gagne","Perdu","%Perdu","Nulle","%Nulle","ScoreMoyen","ObjectifMoyen"
"JoueurRandom","32","3.2%","968","96.8%","0","96.8%","13.102","3.813"
"JoueurMoyen","968","96.8%","32","3.2%","0","3.2%","33.828","10.369"
