"JoueurType","Gagne","PourcentageGagne","Perdu","PourcentagePerdu","Null","PourcentageNull","ScoreMoyen","NbObjectifsMoyen"
"JoueurRandom","187.0","6.375","2813.0","93.625","0.0","0.0","14.39075","4.0915003"
"JoueurMoyen","2813.0","93.625","187.0","6.375","0.0","0.0","34.29375","10.24325"
